current_stage,stage_index,state,paf_count,area,open_litigations,resolved_litigations,compensation_pct,rehabilitation_progress_pct,days_in_current_stage,prior_stage_avg_days,stage_overrun_ratio,observed_elapsed_days,delay_label,delay_days,remaining_delay_days,started_day
3A,0,Tamil Nadu,60,33.1,1,0,75.4,63.9,28,16.9,0.467,45,0,0,14,682
3G,3,Andhra Pradesh,55,27.1,0,0,53.8,47.5,34,56.8,0.378,205,0,132,288,682
3G,3,Gujarat,90,44.9,0,0,40.7,28.0,51,18.4,0.567,106,0,51,305,682
3E,5,Uttar Pradesh,83,48.0,1,0,63.8,38.2,85,70.9,1.889,439,1,427,452,680
3C,1,Uttar Pradesh,353,132.9,2,1,64.9,46.9,61,71.1,0.678,132,0,63,81,680
3D,2,Tamil Nadu,285,102.7,3,0,53.0,44.6,64,114.2,0.533,292,1,238,215,679
3A,0,Uttar Pradesh,198,108.9,4,0,35.6,66.7,50,29.1,0.833,79,1,39,20,679
3H,4,Karnataka,268,130.3,0,0,73.3,43.2,76,46.8,1.267,263,0,7,164,679
3C,1,Uttar Pradesh,293,124.8,1,0,49.8,42.5,63,118.1,0.7,181,1,144,112,678
3C,1,Tamil Nadu,285,160.1,0,2,63.3,59.5,65,88.7,0.722,154,0,27,23,678
3C,1,Maharashtra,216,122.2,0,0,78.7,54.3,85,30.5,0.944,116,0,0,29,675
3A,0,Uttar Pradesh,289,175.2,1,1,56.0,29.0,4,23.7,0.067,28,0,13,46,675
3A,0,Karnataka,130,6.9,0,1,78.3,61.4,20,23.0,0.333,43,0,2,19,675
3H,4,Karnataka,58,39.7,1,0,61.3,82.6,232,63.2,3.867,485,0,136,71,674
3G,3,Maharashtra,371,172.0,2,0,48.1,41.2,100,63.1,1.111,289,1,363,434,674
3C,1,Uttar Pradesh,384,185.0,0,0,86.8,66.5,107,47.1,1.189,154,0,22,18,674
3D,2,Gujarat,347,281.4,2,0,39.3,43.0,86,33.7,0.717,153,1,324,441,674
3A,0,Uttar Pradesh,86,32.8,1,1,26.3,39.5,31,13.7,0.517,45,1,112,127,674
3E,5,Maharashtra,764,350.9,2,1,64.5,78.2,178,61.6,3.956,486,0,82,60,673
3D,2,Maharashtra,277,184.2,1,0,69.3,51.3,43,93.6,0.358,230,0,23,63,672
3E,5,Karnataka,77,51.8,0,2,45.0,52.3,336,16.7,7.467,419,1,345,391,671
3G,3,Uttar Pradesh,13,3.0,0,0,48.3,31.9,74,49.7,0.822,223,0,140,276,670
3D,2,Rajasthan,86,74.2,1,0,48.5,29.1,88,40.1,0.733,168,1,181,282,670
3H,4,Rajasthan,128,52.6,1,0,74.2,74.6,128,110.8,2.133,571,1,285,134,670
3H,4,Madhya Pradesh,96,45.6,1,0,52.0,52.0,204,53.6,3.4,418,0,208,210,670
3D,2,Maharashtra,612,329.6,3,0,52.9,38.0,69,109.9,0.575,289,1,524,505,670
3C,1,Uttar Pradesh,40,8.6,1,0,13.7,13.0,13,46.1,0.144,59,1,333,424,669
3H,4,Andhra Pradesh,70,12.1,1,0,89.3,60.1,379,24.0,6.317,475,0,107,52,669
3C,1,Madhya Pradesh,152,85.8,1,1,78.3,93.0,76,64.7,0.844,141,0,21,30,669
3C,1,Uttar Pradesh,123,6.0,1,0,92.1,56.8,41,107.3,0.456,148,0,21,22,669
3G,3,Tamil Nadu,230,67.0,2,2,47.8,63.8,128,75.9,1.422,356,1,375,379,668
3G,3,Rajasthan,664,365.4,0,0,43.7,32.4,52,49.7,0.578,201,0,57,216,668
3C,1,Tamil Nadu,147,28.9,2,2,62.7,62.9,45,101.6,0.5,147,0,47,50,668
3D,2,Maharashtra,221,40.4,2,0,38.9,49.3,22,109.0,0.183,240,1,326,356,668
3C,1,Gujarat,54,5.6,0,1,53.2,32.7,47,39.7,0.522,87,0,38,101,666
3A,0,Maharashtra,497,121.4,3,3,68.4,34.9,32,34.2,0.533,66,1,69,63,666
3G,3,Uttar Pradesh,276,7.5,1,0,45.0,36.8,36,35.8,0.4,143,0,52,269,665
3D,2,Uttar Pradesh,193,96.2,0,0,44.6,51.9,113,30.8,0.942,175,1,192,287,665
3D,2,Uttar Pradesh,267,129.6,1,0,48.3,46.6,137,69.0,1.142,275,1,287,282,665
3D,2,Rajasthan,362,169.9,1,0,45.7,25.9,125,22.4,1.042,170,0,116,216,665
3C,1,Andhra Pradesh,52,38.8,1,0,45.8,34.0,14,26.0,0.156,40,0,4,114,664
3D,2,Andhra Pradesh,183,65.8,0,0,29.7,49.1,59,36.2,0.492,131,0,70,208,664
3G,3,Karnataka,128,45.6,1,1,46.1,48.9,52,30.7,0.578,144,0,52,268,663
3A,0,Uttar Pradesh,185,119.9,0,1,36.1,33.2,9,14.9,0.15,24,1,55,91,663
3A,0,Maharashtra,44,3.0,1,0,49.9,28.1,21,15.9,0.35,37,0,29,52,663
3D,2,Uttar Pradesh,290,3.0,1,0,62.3,69.3,99,44.9,0.825,189,0,72,153,663
3H,4,Karnataka,115,83.0,3,3,69.2,44.8,159,80.4,2.65,481,1,365,304,663
3D,2,Gujarat,134,28.2,0,0,42.8,47.2,46,19.4,0.383,85,0,45,230,662
3A,0,Madhya Pradesh,289,142.3,0,4,74.6,64.0,4,49.5,0.067,54,0,3,9,662
3G,3,Gujarat,105,26.7,2,2,76.1,53.4,180,80.7,2.0,422,0,158,96,661
3C,1,Karnataka,27,20.2,1,0,46.0,48.2,24,48.4,0.267,72,0,46,123,661
3H,4,Gujarat,131,21.2,1,1,50.0,59.6,54,25.5,0.9,156,0,4,268,660
3A,0,Maharashtra,79,37.2,0,2,66.9,58.2,29,26.4,0.483,55,0,11,16,660
3D,2,Rajasthan,38,22.9,0,0,45.3,44.3,10,79.9,0.083,170,0,56,156,660
3A,0,Gujarat,329,151.5,0,0,48.6,48.2,6,39.6,0.1,46,0,13,27,660
3D,2,Tamil Nadu,170,74.4,0,0,71.3,62.0,62,58.2,0.517,178,0,0,86,659
3C,1,Uttar Pradesh,53,15.8,1,1,64.7,38.2,115,35.4,1.278,150,0,52,52,659
3D,2,Andhra Pradesh,28,8.9,0,0,82.5,80.2,25,88.9,0.208,203,0,4,71,658
3A,0,Maharashtra,36,3.0,0,1,43.5,42.9,6,11.0,0.1,17,0,7,50,656
3C,1,Maharashtra,131,28.6,0,0,95.0,78.7,48,89.5,0.533,137,0,23,36,656
3E,5,Andhra Pradesh,44,3.0,4,0,47.5,31.7,53,55.6,1.178,331,1,722,856,655
3H,4,Karnataka,196,94.3,0,1,51.6,45.6,16,31.9,0.267,144,0,11,287,655
3E,5,Maharashtra,194,99.4,3,0,63.7,48.4,269,49.3,5.978,516,0,199,148,655
3C,1,Rajasthan,265,130.7,0,0,54.7,34.0,45,62.2,0.5,107,0,38,81,655
3C,1,Maharashtra,157,65.5,1,2,55.5,40.7,77,86.8,0.856,164,1,233,219,654
3C,1,Madhya Pradesh,186,56.2,0,0,75.7,46.6,68,42.8,0.756,111,0,30,70,653
3H,4,Uttar Pradesh,92,87.5,0,1,78.7,58.7,223,66.6,3.717,490,0,206,136,652
3G,3,Tamil Nadu,98,58.1,0,0,45.3,38.4,88,14.3,0.978,131,0,21,251,652
3A,0,Madhya Pradesh,131,22.8,2,2,48.5,50.5,31,17.8,0.517,49,0,26,37,652
3G,3,Madhya Pradesh,712,78.8,4,2,33.0,45.2,261,61.5,2.9,445,1,766,680,651
3A,0,Karnataka,192,63.4,0,0,44.2,35.2,10,22.0,0.167,32,0,14,42,651
3D,2,Gujarat,44,22.8,0,0,80.3,56.3,129,20.0,1.075,169,0,22,123,651
3D,2,Tamil Nadu,30,32.4,2,0,70.2,64.6,87,99.4,0.725,286,1,269,253,651
3G,3,Rajasthan,1369,571.8,0,0,59.5,39.2,57,39.7,0.633,176,0,87,271,650
3D,2,Andhra Pradesh,435,282.0,2,3,65.1,46.3,134,106.0,1.117,346,1,222,146,650
3C,1,Rajasthan,72,36.6,1,0,44.0,46.3,41,69.1,0.456,110,0,55,95,650
3C,1,Gujarat,106,65.7,0,0,73.2,62.5,81,27.7,0.9,109,0,29,70,650
3D,2,Gujarat,69,33.8,0,1,50.1,56.9,94,34.4,0.783,163,0,71,179,649
3H,4,Tamil Nadu,289,146.4,4,1,55.5,77.0,166,60.9,2.767,410,1,415,426,649
3A,0,Gujarat,97,63.7,0,2,70.1,67.3,23,24.6,0.383,48,0,9,22,647
3E,5,Rajasthan,102,72.2,0,1,60.9,52.1,40,32.4,0.889,202,0,0,255,647
3A,0,Rajasthan,628,222.2,3,0,37.0,26.2,24,6.5,0.4,30,1,59,88,647
3A,0,Uttar Pradesh,117,27.1,2,0,29.5,40.0,16,15.3,0.267,31,1,38,67,646
3C,1,Gujarat,125,68.1,3,4,48.6,74.8,53,151.9,0.589,205,1,170,115,646
3C,1,Tamil Nadu,38,26.8,1,2,74.4,63.8,54,115.0,0.6,169,1,80,61,645
3D,2,Tamil Nadu,32,10.3,2,1,63.0,51.9,147,64.3,1.225,276,1,229,223,645
3G,3,Andhra Pradesh,247,86.1,2,0,72.7,58.2,152,58.4,1.689,327,0,72,105,644
3A,0,Gujarat,276,62.0,0,0,46.2,26.6,13,6.1,0.217,19,0,8,49,643
3H,4,Uttar Pradesh,109,22.7,2,0,75.4,66.3,181,40.9,3.017,345,0,40,116,643
3H,4,Uttar Pradesh,107,33.9,0,1,62.7,34.4,105,22.7,1.75,196,0,46,270,643
3D,2,Gujarat,51,42.9,2,0,59.2,42.1,71,45.5,0.592,162,1,167,275,643
3D,2,Gujarat,253,98.6,0,0,77.7,74.9,97,36.0,0.808,169,0,0,88,643
3C,1,Karnataka,254,40.0,1,2,31.5,33.7,47,12.1,0.522,59,1,89,180,642
3G,3,Uttar Pradesh,81,50.1,2,1,76.5,53.6,80,99.3,0.889,378,0,88,70,642
3D,2,Karnataka,301,224.1,1,0,45.6,35.4,39,34.6,0.325,108,0,76,238,642
3A,0,Karnataka,81,53.5,0,0,80.4,55.3,26,42.1,0.433,68,0,23,14,642
3C,1,Uttar Pradesh,295,120.5,1,3,77.5,55.9,64,123.9,0.711,188,0,68,30,642
3E,5,Gujarat,286,172.9,1,0,46.2,30.7,73,25.4,1.622,200,1,373,638,640
3D,2,Karnataka,184,70.1,3,0,42.0,44.7,104,45.7,0.867,195,1,287,361,640
3C,1,Andhra Pradesh,153,95.6,4,1,63.8,58.9,70,111.2,0.778,181,1,154,123,639
3G,3,Gujarat,188,123.8,1,0,33.0,35.4,100,26.3,1.111,179,1,301,482,639
3G,3,Uttar Pradesh,150,53.5,3,1,52.9,47.0,189,48.0,2.1,333,1,257,284,638
3G,3,Andhra Pradesh,21,5.7,1,1,74.2,72.1,232,47.5,2.578,375,1,217,203,638
3D,2,Maharashtra,66,47.4,1,0,72.5,83.5,128,70.8,1.067,270,0,53,53,638
3C,1,Rajasthan,244,68.1,0,1,37.1,41.4,82,21.4,0.911,103,1,134,181,638
3D,2,Tamil Nadu,78,22.0,0,0,57.8,56.4,121,45.4,1.008,212,1,157,215,637
3D,2,Gujarat,73,48.4,0,0,80.7,80.5,137,88.5,1.142,314,0,131,87,637
3E,5,Rajasthan,105,86.0,1,1,68.0,41.5,221,79.8,4.911,620,1,416,261,637
3G,3,Uttar Pradesh,558,310.5,1,0,72.6,72.6,79,62.4,0.878,266,0,26,119,637
3D,2,Karnataka,452,262.9,2,2,49.8,45.3,70,76.4,0.583,223,1,263,311,636
3H,4,Rajasthan,40,34.8,0,1,63.5,53.9,42,40.8,0.7,205,0,6,221,636
3A,0,Rajasthan,48,22.9,0,0,33.1,40.0,12,11.0,0.2,23,0,22,59,636
3H,4,Rajasthan,63,24.7,0,0,38.1,26.0,9,40.9,0.15,173,1,358,606,636
3A,0,Gujarat,57,48.0,0,0,67.6,68.9,5,28.3,0.083,33,0,0,25,636
3D,2,Andhra Pradesh,114,3.0,0,1,39.5,31.0,80,21.0,0.667,122,1,467,614,635
3H,4,Tamil Nadu,390,228.3,3,1,40.5,55.3,154,57.8,2.567,385,1,376,411,634
3H,4,Maharashtra,102,12.4,1,0,13.0,36.9,29,38.9,0.483,185,1,572,807,634
3A,0,Maharashtra,65,48.5,1,1,43.0,52.3,19,37.5,0.317,57,1,36,39,634
3H,4,Uttar Pradesh,446,335.1,1,1,38.7,31.0,94,19.7,1.567,173,0,189,436,634
3H,4,Maharashtra,116,64.9,0,1,63.3,38.8,248,26.3,4.133,353,0,185,252,633
3A,0,Tamil Nadu,187,76.4,1,0,64.5,46.4,21,18.3,0.35,39,0,17,38,631
3A,0,Karnataka,36,7.8,0,0,54.0,45.0,19,10.5,0.317,30,0,4,35,631
3C,1,Madhya Pradesh,95,89.7,2,0,49.9,48.9,81,38.1,0.9,119,1,121,152,631
3H,4,Madhya Pradesh,63,27.2,0,0,62.0,66.5,68,45.4,1.133,250,0,0,150,631
3A,0,Maharashtra,89,42.1,4,0,42.9,67.3,48,17.2,0.8,65,1,77,72,630
3H,4,Gujarat,473,220.2,4,1,34.5,75.3,46,117.9,0.767,518,1,724,626,630
3C,1,Madhya Pradesh,81,36.7,1,2,71.7,70.3,127,74.0,1.411,201,1,110,59,630
3A,0,Uttar Pradesh,68,19.7,0,0,60.8,56.1,5,24.6,0.083,30,0,9,39,628
3A,0,Rajasthan,147,45.7,1,0,79.4,71.9,5,57.9,0.083,63,0,13,10,627
3C,1,Gujarat,133,79.5,3,1,42.3,55.7,102,48.3,1.133,150,1,186,186,627
3C,1,Maharashtra,222,117.7,0,1,79.6,55.5,40,60.3,0.444,100,0,7,56,627
3C,1,Madhya Pradesh,358,115.4,2,0,35.2,22.6,15,47.7,0.167,63,1,309,396,627
3D,2,Karnataka,319,147.4,1,0,60.5,50.4,69,79.8,0.575,229,0,25,66,624
3H,4,Madhya Pradesh,60,44.7,1,0,76.3,59.2,276,25.2,4.6,377,0,97,140,623
3D,2,Andhra Pradesh,338,228.4,4,2,50.0,57.5,186,77.0,1.55,340,1,455,385,622
3A,0,Madhya Pradesh,22,20.3,0,1,40.0,34.8,19,16.2,0.317,35,1,47,72,621
3A,0,Rajasthan,85,23.7,1,0,19.7,31.6,8,18.7,0.133,27,1,74,107,621
3H,4,Maharashtra,96,42.5,1,0,43.0,45.9,111,9.1,1.85,147,0,137,409,621
3A,0,Tamil Nadu,212,50.0,3,1,59.8,68.5,22,42.1,0.367,64,0,27,22,621
3E,5,Rajasthan,215,110.9,1,0,29.8,29.9,172,12.0,3.822,232,1,505,738,621
3H,4,Gujarat,345,194.5,3,2,74.9,53.9,108,87.3,1.8,457,0,86,48,621
3H,4,Gujarat,95,32.0,0,0,53.8,40.1,58,19.7,0.967,137,0,11,294,621
3A,0,Andhra Pradesh,60,35.7,1,0,68.2,28.3,17,12.8,0.283,30,1,35,65,621
3E,5,Tamil Nadu,67,17.8,1,0,78.1,71.9,206,73.7,4.578,574,0,180,71,620
3C,1,Uttar Pradesh,121,68.7,1,0,59.6,48.9,21,101.3,0.233,122,0,31,59,620
3C,1,Maharashtra,160,85.6,0,1,66.7,29.0,24,120.1,0.267,144,1,83,89,619
3C,1,Gujarat,120,3.0,1,0,89.0,75.5,22,89.1,0.244,111,0,0,33,619
3G,3,Maharashtra,93,52.6,0,1,38.5,35.9,33,48.0,0.367,177,1,226,409,619
3A,0,Gujarat,181,72.4,0,1,78.5,72.3,29,35.0,0.483,64,0,13,9,618
3G,3,Andhra Pradesh,53,29.2,0,0,38.5,31.8,35,25.7,0.389,112,0,81,329,618
3H,4,Karnataka,103,70.3,1,0,69.1,31.8,134,22.1,2.233,222,0,44,242,617
3D,2,Rajasthan,64,6.6,0,0,62.9,40.9,85,15.1,0.708,115,0,14,169,617
3D,2,Gujarat,216,74.1,2,1,59.6,50.6,170,52.7,1.417,275,0,120,114,617
3D,2,Karnataka,69,19.3,2,2,39.4,59.7,240,34.6,2.0,309,1,300,261,616
3C,1,Andhra Pradesh,28,44.6,1,0,75.1,49.8,16,110.6,0.178,127,0,16,39,616
3G,3,Uttar Pradesh,773,397.6,2,0,77.9,54.9,247,27.3,2.744,329,0,48,79,615
3G,3,Maharashtra,46,18.4,0,0,68.7,64.3,58,74.1,0.644,280,0,56,136,615
3E,5,Madhya Pradesh,86,47.8,1,0,38.4,27.2,46,53.4,1.022,313,1,353,505,614
3E,5,Maharashtra,18,3.0,0,0,69.1,69.7,142,34.4,3.156,314,0,0,145,614
3A,0,Andhra Pradesh,129,43.5,1,0,61.4,53.2,7,27.5,0.117,35,0,3,29,613
3H,4,Tamil Nadu,386,166.8,1,0,57.3,41.4,114,43.6,1.9,288,0,68,200,612
3H,4,Uttar Pradesh,41,3.0,0,0,48.6,34.3,118,23.7,1.967,213,0,99,306,612
3A,0,Rajasthan,132,79.3,0,3,76.5,24.7,25,27.5,0.417,52,0,13,21,612
3D,2,Madhya Pradesh,65,51.0,0,0,56.1,34.0,25,33.3,0.208,92,0,27,206,612
3C,1,Uttar Pradesh,105,44.6,3,0,66.4,66.3,59,104.5,0.656,163,1,114,100,611
3E,5,Uttar Pradesh,193,73.0,1,0,56.8,59.4,125,55.8,2.778,404,0,189,250,611
3C,1,Uttar Pradesh,199,96.4,2,1,49.0,45.2,48,73.1,0.533,121,1,87,116,611
3D,2,Andhra Pradesh,128,92.9,0,1,35.5,45.2,70,27.0,0.583,124,1,252,398,610
3A,0,Rajasthan,210,19.4,3,2,43.2,20.6,23,42.6,0.383,66,1,104,99,610
3G,3,Andhra Pradesh,376,127.3,0,0,41.8,46.7,107,48.4,1.189,252,1,200,308,610
3G,3,Gujarat,160,102.2,1,0,43.8,40.7,51,19.1,0.567,108,0,52,304,609
3C,1,Andhra Pradesh,193,91.7,0,1,81.5,59.4,41,79.0,0.456,120,0,24,54,609
3A,0,Gujarat,155,66.0,0,0,63.0,61.6,15,16.4,0.25,31,0,0,28,607
3E,5,Rajasthan,182,58.7,1,0,59.7,57.1,84,19.1,1.867,180,0,28,313,607
3G,3,Rajasthan,128,10.7,1,0,51.8,59.2,50,45.3,0.556,186,0,42,216,605
3C,1,Uttar Pradesh,124,47.5,0,1,64.0,57.0,8,103.6,0.089,112,0,28,66,605
3D,2,Madhya Pradesh,201,98.0,0,0,82.3,33.0,60,80.6,0.5,221,0,0,46,605
3D,2,Karnataka,56,13.6,0,0,61.2,48.2,100,23.5,0.833,147,0,46,169,604
3C,1,Karnataka,75,49.3,1,3,70.7,45.6,59,39.3,0.656,98,0,8,60,603
3H,4,Karnataka,134,86.1,1,1,41.2,35.1,58,53.0,0.967,270,1,518,668,600
3A,0,Karnataka,65,21.2,0,0,71.0,50.7,32,15.5,0.533,48,0,8,20,600
3D,2,Tamil Nadu,125,57.2,0,0,75.6,54.1,79,79.7,0.658,238,0,14,46,600
3C,1,Tamil Nadu,256,115.7,1,0,45.8,35.0,38,8.2,0.422,46,0,26,130,600
3A,0,Uttar Pradesh,187,12.4,3,0,61.2,44.3,32,33.7,0.533,66,0,21,15,599
3A,0,Uttar Pradesh,159,60.8,2,0,68.4,60.6,36,30.7,0.6,67,0,17,10,599
3D,2,Gujarat,56,31.1,0,0,46.2,49.8,86,18.7,0.717,123,0,24,171,599
3C,1,Madhya Pradesh,83,35.7,0,0,56.2,46.6,14,41.7,0.156,56,0,1,96,599
3E,5,Uttar Pradesh,98,74.2,0,0,85.0,70.0,368,22.6,8.178,481,0,76,59,599
3D,2,Madhya Pradesh,75,80.3,1,1,62.4,60.9,91,41.1,0.758,173,0,0,86,599
3G,3,Madhya Pradesh,284,49.5,1,1,65.4,34.3,196,18.7,2.178,252,0,118,226,598
3D,2,Tamil Nadu,153,34.9,1,0,55.0,72.3,69,63.0,0.575,195,0,93,167,598
3H,4,Gujarat,69,33.0,0,0,71.8,42.3,340,56.0,5.667,564,1,224,80,597
3A,0,Karnataka,177,81.2,1,2,64.7,74.4,6,36.0,0.1,42,0,10,28,597
3D,2,Uttar Pradesh,219,70.3,1,0,48.8,80.0,134,103.8,1.117,342,1,314,242,595
3C,1,Andhra Pradesh,52,13.4,3,1,53.2,41.1,67,40.9,0.744,108,1,84,126,595
3E,5,Rajasthan,112,55.7,0,0,57.2,59.9,66,25.1,1.467,191,0,0,257,594
3D,2,Maharashtra,93,65.0,3,0,55.3,33.2,44,68.6,0.367,181,1,163,252,594
3D,2,Andhra Pradesh,217,89.9,0,0,57.1,46.5,78,18.3,0.65,115,0,0,147,594
3D,2,Madhya Pradesh,872,483.5,0,0,72.5,77.2,113,71.7,0.942,256,0,12,26,594
3G,3,Andhra Pradesh,74,32.8,0,0,50.2,49.1,80,42.2,0.889,207,0,106,260,593
3D,2,Uttar Pradesh,668,275.1,1,1,92.3,69.7,19,111.7,0.158,242,0,17,44,593
3A,0,Tamil Nadu,2208,900.0,4,3,55.7,41.8,32,38.6,0.533,71,1,67,56,593
3A,0,Andhra Pradesh,47,15.4,0,0,47.7,59.7,15,13.6,0.25,29,0,10,41,592
3E,5,Madhya Pradesh,233,78.0,0,1,40.7,32.5,60,29.9,1.333,210,1,414,670,592
3C,1,Rajasthan,27,30.5,0,1,59.4,56.4,49,37.4,0.544,86,0,22,86,591
3C,1,Andhra Pradesh,205,130.4,1,0,40.5,23.3,47,45.9,0.522,93,0,67,124,591
3H,4,Rajasthan,248,197.1,0,0,47.5,40.9,58,13.7,0.967,113,0,0,297,590
3G,3,Madhya Pradesh,204,120.0,4,1,43.4,47.3,158,52.4,1.756,315,1,799,844,589
3A,0,Uttar Pradesh,172,52.3,0,1,45.1,31.0,22,7.8,0.367,30,0,21,52,589
3C,1,Madhya Pradesh,594,36.6,1,2,33.5,39.0,41,61.7,0.456,103,1,298,346,589
3G,3,Rajasthan,510,220.6,1,0,71.1,63.2,138,54.5,1.533,302,0,138,196,588
3D,2,Maharashtra,502,221.1,2,0,70.9,52.4,84,47.1,0.7,178,0,87,179,588
3E,5,Maharashtra,369,166.7,2,2,58.0,64.0,301,30.3,6.689,453,1,596,609,588
3H,4,Karnataka,260,108.9,1,0,60.9,35.3,250,18.8,4.167,325,0,207,301,588
3A,0,Gujarat,290,204.8,0,0,60.1,50.2,4,20.6,0.067,25,0,1,36,588
3A,0,Uttar Pradesh,475,250.5,1,0,64.8,37.4,26,26.9,0.433,53,1,60,67,587
3H,4,Uttar Pradesh,54,19.8,2,0,34.7,44.5,56,39.5,0.933,214,0,99,305,587
3G,3,Andhra Pradesh,60,6.5,1,2,72.1,67.0,289,14.9,3.211,334,0,90,116,585
3G,3,Rajasthan,95,42.9,0,1,50.0,50.5,26,53.8,0.289,187,0,64,237,585
3A,0,Rajasthan,42,24.6,3,0,43.3,57.9,11,28.2,0.183,39,0,21,41,584
3C,1,Tamil Nadu,56,7.6,3,1,27.3,58.9,40,116.3,0.444,156,1,369,362,583
3A,0,Tamil Nadu,91,33.1,3,0,52.2,56.6,48,28.5,0.8,77,1,84,68,583
3C,1,Andhra Pradesh,238,85.3,0,0,78.6,81.2,43,70.7,0.478,114,0,0,29,583
3G,3,Madhya Pradesh,648,408.2,3,1,24.8,34.8,69,52.5,0.767,226,1,867,1001,582
3G,3,Gujarat,368,226.8,1,0,76.7,46.1,81,126.3,0.9,460,1,180,80,582
3D,2,Madhya Pradesh,40,3.0,1,1,30.0,51.4,120,30.2,1.0,180,1,227,317,581
3G,3,Andhra Pradesh,179,26.9,0,1,64.4,39.1,95,31.4,1.056,189,0,46,217,580
3C,1,Uttar Pradesh,59,30.8,0,0,66.9,27.0,10,78.3,0.111,88,0,16,78,580
3A,0,Maharashtra,64,22.4,0,0,66.5,49.1,6,26.7,0.1,33,0,3,30,580
3H,4,Tamil Nadu,131,72.5,1,0,39.3,29.4,73,12.3,1.217,122,0,50,348,579
3D,2,Karnataka,114,66.8,2,1,48.9,50.4,177,60.7,1.475,298,1,301,272,579
3D,2,Karnataka,140,112.0,1,0,98.1,55.2,186,36.4,1.55,259,0,28,39,578
3H,4,Karnataka,153,94.9,0,0,58.5,59.7,125,36.1,2.083,269,0,46,197,578
3E,5,Gujarat,243,89.4,1,1,83.6,70.0,83,51.7,1.844,341,0,0,117,577
3G,3,Gujarat,63,39.2,1,0,48.3,34.8,128,24.8,1.422,202,0,74,232,576
3D,2,Andhra Pradesh,193,78.5,0,0,46.6,37.4,51,14.1,0.425,79,0,26,217,576
3C,1,Gujarat,63,35.5,0,0,44.6,51.9,41,121.2,0.456,162,1,132,120,576
3C,1,Uttar Pradesh,291,104.3,2,0,64.2,57.6,74,67.5,0.822,141,0,46,54,575
3A,0,Andhra Pradesh,500,334.1,0,0,42.2,27.4,13,13.2,0.217,26,1,61,95,575
3C,1,Rajasthan,236,176.5,1,0,73.0,49.8,61,96.2,0.678,157,1,75,68,575
3G,3,Madhya Pradesh,70,3.0,0,1,37.0,27.2,93,36.1,1.033,201,1,220,379,574
3D,2,Madhya Pradesh,60,29.8,1,0,34.1,42.3,72,51.7,0.6,175,1,145,239,574
3E,5,Karnataka,106,62.5,0,0,89.7,78.3,233,32.8,5.178,397,0,0,54,573
3C,1,Uttar Pradesh,83,51.6,2,0,49.9,25.6,45,58.4,0.5,103,0,49,95,573
3E,5,Maharashtra,113,53.6,2,1,61.3,46.6,104,83.3,2.311,520,1,332,277,573
3D,2,Uttar Pradesh,97,67.9,1,1,73.7,77.9,113,118.8,0.942,351,1,171,91,573
3E,5,Madhya Pradesh,137,99.4,0,2,85.5,56.5,240,13.2,5.333,306,0,0,148,572
3G,3,Rajasthan,112,50.3,0,0,76.8,52.6,141,64.5,1.567,334,0,108,134,572
3E,5,Gujarat,540,132.4,1,3,44.1,37.5,44,31.2,0.978,200,0,162,427,572
3D,2,Maharashtra,43,28.5,2,0,44.6,55.5,82,83.9,0.683,250,1,326,346,572
3D,2,Tamil Nadu,48,5.8,0,0,74.3,44.0,107,36.1,0.892,179,0,43,134,571
3G,3,Karnataka,131,54.9,1,1,62.7,47.3,73,64.9,0.811,268,1,209,301,571
3D,2,Gujarat,166,57.8,0,1,46.9,47.4,93,20.8,0.775,135,0,51,186,571
3E,5,Andhra Pradesh,497,279.5,2,1,50.8,50.3,202,75.4,4.489,579,1,501,387,570
3G,3,Tamil Nadu,188,67.6,1,0,31.1,42.4,82,19.9,0.911,142,0,136,355,570
3A,0,Karnataka,156,104.0,0,1,64.4,49.0,21,18.9,0.35,40,0,10,30,569
3A,0,Karnataka,31,20.6,0,0,86.2,80.2,24,27.1,0.4,51,0,0,6,569
3H,4,Andhra Pradesh,39,50.6,1,0,64.1,60.6,181,25.5,3.017,283,0,135,272,569
3G,3,Uttar Pradesh,285,99.6,0,0,82.1,50.7,133,60.3,1.478,314,0,97,143,568
3A,0,Maharashtra,91,25.3,0,3,72.8,70.2,44,19.6,0.733,64,0,20,16,568
3D,2,Andhra Pradesh,163,3.0,0,0,57.5,55.9,79,59.3,0.658,198,0,71,143,568
3D,2,Madhya Pradesh,107,42.4,4,0,25.4,44.5,67,23.9,0.558,115,1,594,749,568
3D,2,Karnataka,160,108.0,0,0,51.5,48.4,81,34.8,0.675,151,0,20,139,568
3H,4,Rajasthan,720,242.8,1,1,60.3,50.7,179,30.4,2.983,300,1,300,420,567
3H,4,Uttar Pradesh,86,5.4,1,0,62.4,77.0,144,64.3,2.4,401,0,135,153,567
3D,2,Tamil Nadu,102,72.4,0,0,44.7,30.1,14,56.1,0.117,126,1,145,288,567
3A,0,Maharashtra,164,58.6,0,2,63.4,62.7,29,7.4,0.483,36,0,0,23,567
3C,1,Gujarat,63,41.9,0,1,47.2,67.2,110,67.8,1.222,178,1,136,108,566
3D,2,Karnataka,243,91.0,0,0,57.9,31.1,10,60.2,0.083,130,0,48,188,565
3G,3,Gujarat,135,72.4,0,0,63.4,48.1,117,70.0,1.3,327,0,132,165,565
3C,1,Maharashtra,481,120.0,1,0,45.0,29.1,49,86.8,0.544,136,1,306,321,565
